Vehiculo,Desde,Hacia,Costo
V3,0.0,0.0,0.0
V3,0.0,1.0,118545.76666666668
V3,0.0,2.0,120944.06666666667
V3,0.0,3.0,113714.13333333333
V3,0.0,4.0,14533.666666666666
V3,0.0,5.0,55885.53333333333
V3,0.0,6.0,100820.4
V3,0.0,7.0,120852.0
V3,0.0,8.0,76754.16666666667
V3,0.0,9.0,131725.56666666665
V3,0.0,10.0,92047.03333333333
V3,0.0,11.0,154131.5
V3,0.0,12.0,114857.33333333333
V3,0.0,13.0,40457.166666666664
V3,0.0,14.0,56805.433333333334
V3,0.0,15.0,63461.666666666664
V3,0.0,16.0,65982.4
V3,0.0,17.0,96430.06666666667
V3,0.0,18.0,76461.13333333333
V3,0.0,19.0,76624.6
V3,0.0,20.0,56586.1
V3,1.0,0.0,79477.6
V3,1.0,1.0,0.0
V3,1.0,2.0,10697.6
V3,1.0,3.0,43394.2
V3,1.0,4.0,79394.03333333333
V3,1.0,5.0,71997.9
V3,1.0,6.0,35129.36666666667
V3,1.0,7.0,57549.36666666666
V3,1.0,8.0,101218.0
V3,1.0,9.0,45352.63333333334
V3,1.0,10.0,128613.4
V3,1.0,11.0,91871.16666666667
V3,1.0,12.0,44537.4
V3,1.0,13.0,75825.8
V3,1.0,14.0,63528.8
V3,1.0,15.0,68161.43333333333
V3,1.0,16.0,28653.36666666667
V3,1.0,17.0,38027.63333333334
V3,1.0,18.0,120144.93333333333
V3,1.0,19.0,39833.36666666666
V3,1.0,20.0,97016.0
V3,2.0,0.0,89178.66666666667
V3,2.0,1.0,10248.7
V3,2.0,2.0,0.0
V3,2.0,3.0,53095.666666666664
V3,2.0,4.0,89095.5
V3,2.0,5.0,81699.36666666667
V3,2.0,6.0,38824.73333333334
V3,2.0,7.0,67250.83333333333
V3,2.0,8.0,110919.46666666667
V3,2.0,9.0,49048.0
V3,2.0,10.0,138314.86666666667
V3,2.0,11.0,101572.63333333333
V3,2.0,12.0,54238.86666666666
V3,2.0,13.0,85526.86666666667
V3,2.0,14.0,73230.26666666666
V3,2.0,15.0,77862.9
V3,2.0,16.0,38354.833333333336
V3,2.0,17.0,40148.36666666666
V3,2.0,18.0,129846.4
V3,2.0,19.0,49534.433333333334
V3,2.0,20.0,106717.06666666667
V3,3.0,0.0,92799.73333333332
V3,3.0,1.0,40401.166666666664
V3,3.0,2.0,42799.46666666667
V3,3.0,3.0,0.0
V3,3.0,4.0,92716.16666666667
V3,3.0,5.0,64274.2
V3,3.0,6.0,32455.93333333333
V3,3.0,7.0,22305.666666666668
V3,3.0,8.0,90314.9
V3,3.0,9.0,28014.63333333333
V3,3.0,10.0,117710.3
V3,3.0,11.0,56627.46666666667
V3,3.0,12.0,6997.0
V3,3.0,13.0,73876.03333333333
V3,3.0,14.0,55805.1
V3,3.0,15.0,60602.533333333326
V3,3.0,16.0,34119.5
V3,3.0,17.0,28065.6
V3,3.0,18.0,109241.83333333333
V3,3.0,19.0,41011.86666666666
V3,3.0,20.0,86112.5
V3,4.0,0.0,11875.066666666666
V3,4.0,1.0,117410.33333333333
V3,4.0,2.0,119808.63333333333
V3,4.0,3.0,112578.7
V3,4.0,4.0,0.0
V3,4.0,5.0,54749.7
V3,4.0,6.0,99684.96666666667
V3,4.0,7.0,119716.56666666667
V3,4.0,8.0,83461.9
V3,4.0,9.0,130590.13333333333
V3,4.0,10.0,98754.76666666668
V3,4.0,11.0,152996.06666666665
V3,4.0,12.0,113721.5
V3,4.0,13.0,43403.73333333334
V3,4.0,14.0,55670.0
V3,4.0,15.0,62326.23333333334
V3,4.0,16.0,64846.566666666666
V3,4.0,17.0,95294.63333333333
V3,4.0,18.0,83168.86666666667
V3,4.0,19.0,75489.16666666667
V3,4.0,20.0,63294.23333333334
V3,5.0,0.0,43782.6
V3,5.0,1.0,70249.23333333334
V3,5.0,2.0,72647.13333333333
V3,5.0,3.0,64678.566666666666
V3,5.0,4.0,43699.03333333333
V3,5.0,5.0,0.0
V3,5.0,6.0,80599.03333333333
V3,5.0,7.0,78833.73333333332
V3,5.0,8.0,59991.26666666666
V3,5.0,9.0,82690.0
V3,5.0,10.0,87387.06666666667
V3,5.0,11.0,113155.53333333333
V3,5.0,12.0,65821.36666666667
