Vehiculo,Desde,Hacia,Costo
V5,0.0,0.0,0.0
V5,0.0,1.0,8652.683333333332
V5,0.0,2.0,26243.8
V5,0.0,3.0,3891.9166666666665
V5,0.0,4.0,27824.466666666667
V5,0.0,5.0,17517.1
V5,0.0,6.0,30935.1
V5,0.0,7.0,25838.45
V5,0.0,8.0,16558.866666666665
V5,0.0,9.0,31103.716666666667
V5,0.0,10.0,21573.483333333334
V5,0.0,11.0,35504.25
V5,0.0,12.0,26321.333333333336
V5,0.0,13.0,10787.666666666668
V5,0.0,14.0,13502.033333333333
V5,0.0,15.0,15126.666666666666
V5,0.0,16.0,17251.55
V5,0.0,17.0,25110.216666666667
V5,0.0,18.0,18621.183333333334
V5,0.0,19.0,18533.7
V5,0.0,20.0,13769.2
V5,1.0,0.0,8407.15
V5,1.0,1.0,0.0
V5,1.0,2.0,25726.35
V5,1.0,3.0,10852.083333333332
V5,1.0,4.0,23622.11666666667
V5,1.0,5.0,16385.366666666665
V5,1.0,6.0,26732.75
V5,1.0,7.0,21636.1
V5,1.0,8.0,13020.15
V5,1.0,9.0,26901.36666666667
V5,1.0,10.0,16771.833333333336
V5,1.0,11.0,31301.9
V5,1.0,12.0,22118.933333333334
V5,1.0,13.0,4493.383333333333
V5,1.0,14.0,9273.95
V5,1.0,15.0,11371.633333333333
V5,1.0,16.0,16570.216666666667
V5,1.0,17.0,24592.766666666666
V5,1.0,18.0,13819.533333333333
V5,1.0,19.0,14331.35
V5,1.0,20.0,7514.666666666667
V5,2.0,0.0,21255.9
V5,2.0,1.0,24824.05
V5,2.0,2.0,0.0
V5,2.0,3.0,21438.683333333334
V5,2.0,4.0,9040.85
V5,2.0,5.0,16028.2
V5,2.0,6.0,18768.9
V5,2.0,7.0,7538.216666666667
V5,2.0,8.0,16467.55
V5,2.0,9.0,5274.8
V5,2.0,10.0,33314.3
V5,2.0,11.0,18500.166666666664
V5,2.0,12.0,7454.633333333333
V5,2.0,13.0,21101.3
V5,2.0,14.0,15637.166666666666
V5,2.0,15.0,17947.733333333334
V5,2.0,16.0,8870.716666666667
V5,2.0,17.0,2126.7833333333333
V5,2.0,18.0,31046.73333333333
V5,2.0,19.0,12203.783333333333
V5,2.0,20.0,25650.2
V5,3.0,0.0,3240.2166666666667
V5,3.0,1.0,9814.766666666666
V5,3.0,2.0,26429.266666666666
V5,3.0,3.0,0.0
V5,3.0,4.0,28009.933333333334
V5,3.0,5.0,17702.566666666666
V5,3.0,6.0,31120.566666666666
V5,3.0,7.0,26023.916666666664
V5,3.0,8.0,16744.283333333333
V5,3.0,9.0,31289.183333333334
V5,3.0,10.0,23587.36666666667
V5,3.0,11.0,35689.71666666667
V5,3.0,12.0,26506.75
V5,3.0,13.0,11562.133333333333
V5,3.0,14.0,13687.5
V5,3.0,15.0,15312.133333333335
V5,3.0,16.0,17436.966666666667
V5,3.0,17.0,25295.683333333334
V5,3.0,18.0,20635.066666666666
V5,3.0,19.0,18719.166666666664
V5,3.0,20.0,15783.133333333335
V5,4.0,0.0,22353.166666666664
V5,4.0,1.0,25591.816666666666
V5,4.0,2.0,9602.883333333333
V5,4.0,3.0,22536.0
V5,4.0,4.0,0.0
V5,4.0,5.0,17125.516666666666
V5,4.0,6.0,19536.716666666667
V5,4.0,7.0,11985.983333333334
V5,4.0,8.0,17638.666666666664
V5,4.0,9.0,12089.75
V5,4.0,10.0,34082.066666666666
V5,4.0,11.0,22947.933333333334
V5,4.0,12.0,12468.816666666666
V5,4.0,13.0,22198.566666666666
V5,4.0,14.0,17839.616666666665
V5,4.0,15.0,19045.05
V5,4.0,16.0,9905.083333333332
V5,4.0,17.0,10014.066666666666
V5,4.0,18.0,31814.55
V5,4.0,19.0,13043.783333333333
V5,4.0,20.0,26417.966666666667
V5,5.0,0.0,13444.966666666667
V5,5.0,1.0,15854.633333333335
V5,5.0,2.0,19592.75
V5,5.0,3.0,13627.8
V5,5.0,4.0,19136.466666666667
V5,5.0,5.0,0.0
V5,5.0,6.0,27159.516666666666
V5,5.0,7.0,19064.983333333334
V5,5.0,8.0,12983.9
V5,5.0,9.0,22406.55
V5,5.0,10.0,26954.2
V5,5.0,11.0,30026.933333333334
V5,5.0,12.0,19547.816666666666
V5,5.0,13.0,13001.4
V5,5.0,14.0,7537.266666666666
V5,5.0,15.0,11551.7
V5,5.0,16.0,10600.45
V5,5.0,17.0,18459.166666666664
V5,5.0,18.0,24686.683333333334
V5,5.0,19.0,13005.583333333332
V5,5.0,20.0,18627.666666666664
V5,6.0,0.0,31078.933333333334
V5,6.0,1.0,25746.8
V5,6.0,2.0,22293.61666666667
V5,6.0,3.0,31261.716666666667
V5,6.0,4.0,20189.38333333333
V5,6.0,5.0,27914.283333333333
V5,6.0,6.0,0.0
V5,6.0,7.0,13879.533333333333
V5,6.0,8.0,18493.25
V5,6.0,9.0,20736.95
V5,6.0,10.0,29046.23333333333
V5,6.0,11.0,21558.75
V5,6.0,12.0,15304.45
V5,6.0,13.0,25640.183333333334
V5,6.0,14.0,21558.2
V5,6.0,15.0,17654.783333333333
V5,6.0,16.0,18861.1
V5,6.0,17.0,21160.033333333333
V5,6.0,18.0,26778.716666666667
V5,6.0,19.0,19088.016666666666
V5,6.0,20.0,24229.1
V5,7.0,0.0,27049.583333333336
V5,7.0,1.0,23158.45
V5,7.0,2.0,12274.733333333334
V5,7.0,3.0,27232.36666666667
V5,7.0,4.0,13242.066666666666
V5,7.0,5.0,21821.88333333333
V5,7.0,6.0,14652.233333333334
V5,7.0,7.0,0.0
V5,7.0,8.0,15205.3
V5,7.0,9.0,12947.4
V5,7.0,10.0,30238.316666666666
V5,7.0,11.0,11756.85
V5,7.0,12.0,6079.5
V5,7.0,13.0,20721.783333333333
V5,7.0,14.0,15406.25
V5,7.0,15.0,15999.95
V5,7.0,16.0,11860.3
V5,7.0,17.0,11141.15
V5,7.0,18.0,27970.8
V5,7.0,19.0,12936.066666666666
V5,7.0,20.0,22574.216666666667
V5,8.0,0.0,15671.183333333334
V5,8.0,1.0,13056.9
V5,8.0,2.0,18670.966666666667
V5,8.0,3.0,15853.966666666667
V5,8.0,4.0,16566.683333333334
V5,8.0,5.0,13295.183333333334
V5,8.0,6.0,16427.016666666666
V5,8.0,7.0,14580.716666666667
V5,8.0,8.0,0.0
V5,8.0,9.0,19845.983333333334
V5,8.0,10.0,19297.883333333335
V5,8.0,11.0,22476.716666666667
V5,8.0,12.0,15063.55
V5,8.0,13.0,10232.433333333334
V5,8.0,14.0,6573.1
V5,8.0,15.0,3603.65
V5,8.0,16.0,8768.2
V5,8.0,17.0,17537.383333333335
V5,8.0,18.0,17030.366666666665
V5,8.0,19.0,5706.533333333333
V5,8.0,20.0,11699.85
V5,9.0,0.0,25374.066666666666
V5,9.0,1.0,28942.216666666667
V5,9.0,2.0,5056.083333333334
V5,9.0,3.0,25556.9
V5,9.0,4.0,13159.066666666666
V5,9.0,5.0,20146.416666666664
V5,9.0,6.0,22887.11666666667
V5,9.0,7.0,9861.633333333333
