Tiempo,Desde,Hacia
0.0,0,0
673.5,0,1
701.5,0,2
1277.4,0,3
1072.1,0,4
1474.9,0,5
1465.9,0,6
1150.6,0,7
714.5,0,8
305.7,0,9
1156.1,0,10
1142.2,0,11
1225.5,0,12
500.2,0,13
466.3,0,14
530.2,0,15
489.9,0,16
397.4,0,17
716.5,0,18
735.8,0,19
1469.4,0,20
1406.4,0,21
1173.0,0,22
635.9,0,23
970.3,0,24
557.3,0,25
1289.5,0,26
1883.4,0,27
1219.0,0,28
1067.6,0,29
1181.4,0,30
1800.9,0,31
1490.3,0,32
864.6,0,33
1029.7,0,34
643.5,0,35
728.6,0,36
303.9,0,37
902.9,0,38
1635.1,0,39
542.7,0,40
1291.8,0,41
308.2,1,0
0.0,1,1
340.5,1,2
921.4,1,3
1317.0,1,4
1705.5,1,5
1696.5,1,6
1384.9,1,7
401.9,1,8
285.8,1,9
810.1,1,10
1382.7,1,11
1470.4,1,12
745.1,1,13
711.2,1,14
775.1,1,15
243.9,1,16
642.3,1,17
961.4,1,18
406.6,1,19
1123.4,1,20
1060.4,1,21
1413.2,1,22
876.1,1,23
1215.2,1,24
802.2,1,25
933.5,1,26
2123.9,1,27
1463.9,1,28
711.6,1,29
698.9,1,30
2041.4,1,31
1144.3,1,32
508.6,1,33
1274.6,1,34
888.4,1,35
973.5,1,36
410.2,1,37
420.4,1,38
1875.6,1,39
672.3,1,40
1532.0,1,41
565.0,2,0
484.0,2,1
0.0,2,2
1090.6,2,3
1534.2,2,4
1920.3,2,5
1911.3,2,6
1599.7,2,7
266.1,2,8
542.6,2,9
1024.9,2,10
1597.5,2,11
1727.2,2,12
1001.9,2,13
968.0,2,14
1031.9,2,15
294.7,2,16
899.1,2,17
1218.2,2,18
621.4,2,19
1338.2,2,20
1275.2,2,21
1628.0,2,22
1090.9,2,23
1472.0,2,24
1059.0,2,25
1135.5,2,26
2338.7,2,27
1720.7,2,28
936.4,2,29
715.9,2,30
2256.2,2,31
