Distancia,Desde,Hacia
0.0,0,0
26165.4,0,1
26605.6,0,2
25022.7,0,3
3040.5,0,4
12224.3,0,5
21307.6,0,6
26468.0,0,7
16475.0,0,8
28749.1,0,9
20135.3,0,10
33893.5,0,11
25296.0,0,12
8477.0,0,13
12372.4,0,14
13810.0,0,15
13923.1,0,16
20377.1,0,17
16525.7,0,18
16597.4,0,19
12233.4,0,20
17094.4,1,0
0.0,1,1
2086.9,1,2
9662.3,1,3
17018.3,1,4
15675.1,1,5
7576.3,1,6
12856.3,1,7
21892.0,1,8
9786.7,1,9
27782.1,1,10
20465.5,1,11
9935.6,1,12
16095.2,1,13
13827.2,1,14
14806.4,1,15
6129.8,1,16
8254.2,1,17
26010.4,1,18
8427.3,1,19
20944.0,1,20
19093.0,2,0
2097.8,2,1
0.0,2,2
11661.0,2,3
19017.0,2,4
17673.8,2,5
8349.1,2,6
14855.0,2,7
23890.7,2,8
10559.5,2,9
29780.8,2,10
22464.2,2,11
11934.3,2,12
18093.8,2,13
15825.9,2,14
16805.1,2,15
8128.5,2,16
8609.8,2,17
28009.1,2,18
10425.9,2,19
22942.6,2,20
19996.6,3,0
8875.5,3,1
9315.7,3,2
0.0,3,3
19920.5,3,4
13787.3,3,5
6976.9,3,6
4848.5,3,7
19343.1,3,8
5739.7,3,9
25233.2,3,10
12457.7,3,11
1473.0,3,12
15583.8,3,13
11939.4,3,14
12984.8,3,15
7230.5,3,16
6046.4,3,17
23461.5,3,18
8641.3,3,19
18395.0,3,20
2467.1,4,0
25788.0,4,1
26228.2,4,2
24645.3,4,3
0.0,4,4
11846.8,4,5
20930.2,4,6
26090.6,4,7
17816.1,4,8
28371.7,4,9
21476.4,4,10
33516.1,4,11
24918.5,4,12
9097.6,4,13
11995.0,4,14
13432.6,4,15
13545.6,4,16
19999.7,4,17
17866.8,4,18
16220.0,4,19
13574.6,4,20
9399.4,5,0
15309.6,5,1
15749.7,5,2
14031.1,5,3
9323.3,5,4
0.0,5,5
17495.8,5,6
17225.1,5,7
12839.9,5,8
17757.5,5,9
18730.1,5,10
24834.3,5,11
14304.3,5,12
4416.9,5,13
4080.6,5,14
5375.1,5,15
7335.2,5,16
16565.3,5,17
16958.3,5,18
6039.1,5,19
10766.0,5,20
18491.8,6,0
7701.5,6,1
8141.7,6,2
6703.8,6,3
18415.7,6,4
14694.9,6,5
0.0,6,6
9897.8,6,7
23248.4,6,8
4229.6,6,9
29138.6,6,10
17507.0,6,11
6442.6,6,12
17492.6,6,13
13001.0,6,14
16203.8,6,15
7438.1,6,16
1231.9,6,17
27366.8,6,18
9735.9,6,19
22300.4,6,20
24935.4,7,0
13814.4,7,1
14254.5,7,2
5153.9,7,3
24859.3,7,4
18456.7,7,5
11915.8,7,6
0.0,7,7
21154.0,7,8
13746.4,7,9
27044.2,7,10
12900.3,7,11
6411.9,7,12
22691.5,7,13
15897.9,7,14
14795.7,7,15
12169.3,7,16
10985.2,7,17
25272.4,7,18
13739.2,7,19
20206.0,7,20
16319.0,8,0
23851.0,8,1
24291.2,8,2
22708.3,8,3
17982.1,8,4
11271.8,8,5
26173.0,8,6
20680.2,8,7
0.0,8,8
26434.7,8,9
6980.9,8,10
27669.2,8,11
22981.5,8,12
9588.7,8,13
12014.6,8,14
8062.8,8,15
16557.4,8,16
25242.5,8,17
5209.1,8,18
12722.2,8,19
6070.0,8,20
22414.8,9,0
9520.6,9,1
12064.8,9,2
7622.3,9,3
22338.8,9,4
18618.0,9,5
4225.5,9,6
10816.3,9,7
27171.5,9,8
0.0,9,9
33061.6,9,10
10161.9,9,11
6452.4,9,12
21415.7,9,13
16924.1,9,14
20126.9,9,15
11361.2,9,16
4329.9,9,17
31289.9,9,18
13659.0,9,19
26223.4,9,20
20179.3,10,0
30363.3,10,1
30803.4,10,2
29220.5,10,3
21842.4,10,4
17928.6,10,5
32685.2,10,6
27192.5,10,7
7182.3,10,8
32946.9,10,9
0.0,10,10
34181.5,10,11
29493.8,10,12
13916.8,10,13
18526.9,10,14
14575.1,10,15
23069.6,10,16
31754.7,10,17
2571.4,10,18
19234.4,10,19
7378.4,10,20
35810.9,11,0
25169.9,11,1
25610.1,11,2
16138.5,11,3
35734.8,11,4
30767.1,11,5
18413.0,11,6
17175.5,11,7
33022.6,11,8
14330.7,11,9
38912.7,11,10
0.0,11,11
15347.3,11,12
32563.6,11,13
28919.2,11,14
26664.3,11,15
23524.9,11,16
18517.4,11,17
37141.0,11,18
24935.7,11,19
32074.5,11,20
21205.6,12,0
10564.6,12,1
11004.8,12,2
3083.8,12,3
21129.5,12,4
15411.9,12,5
6308.0,12,6
6277.8,12,7
20967.7,12,8
5155.7,12,9
26857.8,12,10
10570.4,12,11
0.0,12,12
17208.3,12,13
13564.0,12,14
14609.4,12,15
8919.6,12,16
5377.5,12,17
25086.0,12,18
10330.4,12,19
20019.6,12,20
10246.2,13,0
20046.6,13,1
20486.7,13,2
18903.8,13,3
11485.3,13,4
4502.5,13,5
22368.6,13,6
20349.1,13,7
9643.0,13,8
22630.3,13,9
11821.7,13,10
27774.7,13,11
19177.1,13,12
0.0,13,13
5982.4,13,14
7691.1,13,15
12753.0,13,16
21438.1,13,17
10372.3,13,18
10478.6,13,19
5401.5,13,20
10765.6,14,0
12125.9,14,1
12566.0,14,2
10847.4,14,3
10689.6,14,4
3823.7,14,5
14312.1,14,6
14041.4,14,7
12999.0,14,8
14573.8,14,9
18889.1,14,10
21650.6,14,11
11120.6,14,12
6769.1,14,13
0.0,14,14
5534.1,14,15
5776.1,14,16
13381.6,14,17
17117.4,14,18
4480.0,14,19
10623.9,14,20
14343.5,15,0
17705.3,15,1
18145.5,15,2
16562.6,15,3
14267.4,15,4
5126.2,15,5
20027.3,15,6
15551.1,15,7
8066.6,15,8
20289.0,15,9
13956.7,15,10
22540.1,15,11
16835.9,15,12
9361.0,15,13
5869.0,15,14
0.0,15,15
10411.7,15,16
19096.8,15,17
12185.0,15,18
7018.0,15,19
7118.5,15,20
13501.1,16,0
10476.0,16,1
10916.2,16,2
9197.5,16,3
13425.0,16,4
7658.5,16,5
12662.3,16,6
12391.5,16,7
16526.1,16,8
12924.0,16,9
22416.3,16,10
20000.7,16,11
9470.8,16,12
12829.8,16,13
5810.6,16,14
8899.5,16,15
0.0,16,16
11731.8,16,17
20644.5,16,18
2454.5,16,19
15607.5,16,20
19373.3,17,0
8583.1,17,1
9023.2,17,2
7585.4,17,3
19297.2,17,4
15576.4,17,5
1184.0,17,6
10779.4,17,7
24130.0,17,8
3972.4,17,9
30020.1,17,10
18388.6,17,11
7324.1,17,12
18374.1,17,13
13882.6,17,14
17085.3,17,15
8319.6,17,16
0.0,17,17
28248.4,17,18
10617.5,17,19
23181.9,17,20
16405.5,18,0
27929.1,18,1
28369.3,18,2
26786.4,18,3
18068.7,18,4
14146.1,18,5
30251.1,18,6
24758.3,18,7
5497.5,18,8
30512.8,18,9
2477.8,18,10
31747.3,18,11
27059.7,18,12
11228.3,18,13
16092.8,18,14
12141.0,18,15
20635.5,18,16
29320.6,18,17
0.0,18,18
16800.3,18,19
5086.3,18,20
15196.6,19,0
9994.7,19,1
10434.8,19,2
8716.2,19,3
15120.5,19,4
6983.3,19,5
12180.9,19,6
11910.2,19,7
16339.4,19,8
12442.6,19,9
22229.5,19,10
19519.4,19,11
8989.4,19,12
12154.5,19,13
5135.4,19,14
8712.7,19,15
2469.8,19,16
11250.4,19,17
20457.7,19,18
0.0,19,19
15420.7,19,20
12417.6,20,0
22546.2,20,1
22986.4,20,2
21403.5,20,3
14080.7,20,4
8605.0,20,5
24868.2,20,6
20565.8,20,7
6026.3,20,8
25129.9,20,9
7163.1,20,10
27554.8,20,11
21676.7,20,12
5687.3,20,13
10865.1,20,14
7959.3,20,15
15252.6,20,16
23937.7,20,17
5848.2,20,18
12978.2,20,19
0.0,20,20
