Distancia,Desde,Hacia
0.0,0,0
8088.7,0,1
21307.6,0,2
3040.5,0,3
26605.6,0,4
13859.2,0,5
27230.2,0,6
25026.9,0,7
14769.4,0,8
28749.1,0,9
20135.3,0,10
33893.5,0,11
25296.0,0,12
8477.0,0,13
12372.4,0,14
13810.0,0,15
13923.1,0,16
20377.1,0,17
16525.7,0,18
16597.4,0,19
12233.4,0,20
7954.3,1,0
0.0,1,1
24257.7,1,2
9617.5,1,3
22375.9,1,4
13537.4,1,5
23000.5,1,6
20797.2,1,7
11655.3,1,8
24519.4,1,9
15182.0,1,10
29663.8,1,11
21066.2,1,12
2970.1,1,13
8147.9,1,14
9856.6,1,15
14642.1,1,16
23327.2,1,17
11572.4,1,18
12367.7,1,19
5586.0,1,20
18491.8,2,0
21973.1,2,1
0.0,2,2
18415.7,2,3
8141.7,2,4
14036.4,2,5
16017.8,2,6
6708.1,2,7
14630.1,2,8
4229.6,2,9
29138.6,2,10
17507.0,2,11
6442.6,2,12
17492.6,2,13
13001.0,2,14
16203.8,2,15
7438.1,2,16
1231.9,2,17
27366.8,2,18
9735.9,2,19
22300.4,2,20
2467.1,3,0
8321.2,3,1
20930.2,3,2
0.0,3,3
26228.2,3,4
13481.8,3,5
26852.8,3,6
24649.5,3,7
14391.9,3,8
28371.7,3,9
21476.4,3,10
33516.1,3,11
24918.5,3,12
9097.6,3,13
11995.0,3,14
13432.6,3,15
13545.6,3,16
19999.7,3,17
17866.8,3,18
16220.0,3,19
13574.6,3,20
19093.0,4,0
22615.3,4,1
8349.1,4,2
19017.0,4,3
0.0,4,4
14637.7,4,5
16660.1,4,6
11665.3,4,7
15854.0,4,8
10559.5,4,9
29780.8,4,10
22464.2,4,11
11934.3,4,12
18093.8,4,13
15825.9,4,14
16805.1,4,15
8128.5,4,16
8609.8,4,17
28009.1,4,18
10425.9,4,19
22942.6,4,20
11021.6,5,0
12047.6,5,1
15685.5,5,2
10945.6,5,3
15554.6,5,4
0.0,5,5
22155.7,5,6
17013.3,5,7
10207.8,5,8
18008.1,5,9
22603.4,5,10
27812.2,5,11
17282.3,5,12
9822.8,5,13
5331.2,5,14
9248.4,5,15
8300.9,5,16
14755.0,5,17
20831.7,5,18
9644.5,5,19
14342.0,5,20
24996.2,6,0
20043.6,6,1
18623.9,6,2
24920.1,6,3
16742.1,6,4
22321.9,6,5
0.0,6,6
10517.4,6,7
12901.5,6,8
15478.9,6,9
21090.8,6,10
18552.5,6,11
11648.9,6,12
20013.7,6,13
17056.4,6,14
12117.9,6,15
14282.2,6,16
17693.4,6,17
19319.1,6,18
14897.7,6,19
17528.2,6,20
23407.5,7,0
19666.9,7,1
10387.8,7,2
23331.4,7,3
11045.8,7,4
18952.1,7,5
10102.8,7,6
0.0,7,7
12905.6,7,8
12044.8,7,9
25433.3,7,10
11198.7,7,11
4884.0,7,12
16521.9,7,13
12877.5,7,14
13184.9,7,15
8960.6,7,16
9457.3,7,17
23661.6,7,18
10718.8,7,19
18595.1,7,20
13790.7,8,0
11413.8,8,1
17083.6,8,2
13714.6,8,3
15201.7,8,4
10388.7,8,5
10995.7,8,6
13623.1,8,7
0.0,8,8
17345.3,8,9
15884.1,8,10
20715.1,8,11
13892.1,8,12
8808.2,8,13
5316.2,8,14
2367.3,8,15
7061.4,8,16
16153.1,8,17
14112.4,8,18
4531.4,8,19
9084.7,8,20
22414.8,9,0
25896.1,9,1
4225.5,9,2
22338.8,9,3
12064.8,9,4
17959.5,9,5
19940.9,9,6
7626.6,9,7
18553.2,9,8
0.0,9,9
33061.6,9,10
10161.9,9,11
6452.4,9,12
21415.7,9,13
16924.1,9,14
20126.9,9,15
11361.2,9,16
4329.9,9,17
31289.9,9,18
13659.0,9,19
26223.4,9,20
20179.3,10,0
15095.1,10,1
32685.2,10,2
21842.4,10,3
30803.4,10,4
23599.4,10,5
21097.6,10,6
29224.8,10,7
16821.9,10,8
32946.9,10,9
0.0,10,10
34181.5,10,11
29493.8,10,12
13916.8,10,13
18526.9,10,14
14575.1,10,15
23069.6,10,16
31754.7,10,17
2571.4,10,18
19234.4,10,19
7378.4,10,20
35810.9,11,0
34590.0,11,1
18413.0,11,2
35734.8,11,3
25610.1,11,4
31355.6,11,5
23401.9,11,6
16138.0,11,7
28947.3,11,8
14330.7,11,9
38912.7,11,10
0.0,11,11
15347.3,11,12
32563.6,11,13
28919.2,11,14
26664.3,11,15
23524.9,11,16
