Tiempo,Desde,Hacia
0.0,0,0
553.0,0,1
1870.8,0,2
284.6,0,3
1742.6,0,4
1270.5,0,5
2078.4,0,6
1599.0,0,7
1100.9,0,8
2007.5,0,9
1380.7,0,10
2226.9,0,11
1640.8,0,12
785.9,0,13
877.9,0,14
986.6,0,15
1234.8,0,16
1790.6,0,17
1243.0,0,18
1228.2,0,19
918.3,0,20
531.6,1,0
0.0,1,1
1631.7,1,2
725.2,1,3
1492.1,1,4
1154.0,1,5
1827.9,1,6
1348.5,1,7
863.1,1,8
1757.0,1,9
1101.7,1,10
1976.4,1,11
1390.3,1,12
361.0,1,13
624.0,1,14
773.2,1,15
1109.9,1,16
1551.5,1,17
964.0,1,18
977.7,1,19
566.6,1,20
1441.2,2,0
1660.5,2,1
0.0,2,2
1467.7,2,3
596.4,2,4
1081.2,2,5
1291.2,2,6
502.1,2,7
1098.3,2,8
379.2,2,9
2249.4,2,10
1169.6,2,11
508.0,2,12
1482.6,2,13
1096.4,2,14
1181.5,2,15
618.2,2,16
181.3,2,17
2083.6,2,18
880.3,2,19
1740.0,2,20
240.8,3,0
678.5,3,1
1915.7,3,2
0.0,3,3
1787.5,3,4
1315.4,3,5
2123.3,3,6
1643.9,3,7
1145.8,3,8
2052.4,3,9
1541.9,3,10
2271.8,3,11
1685.7,3,12
841.6,3,13
922.8,3,14
1031.5,3,15
1279.7,3,16
1835.5,3,17
1404.2,3,18
1273.1,3,19
1079.5,3,20
1536.8,4,0
1714.1,4,1
651.4,4,2
1563.3,4,3
0.0,4,4
1176.8,4,5
1344.8,4,6
738.4,4,7
1165.4,4,8
817.2,4,9
2303.0,4,10
1405.9,4,11
780.2,4,12
1578.2,4,13
1191.2,4,14
1277.1,4,15
700.9,4,16
685.1,4,17
2137.2,4,18
939.7,4,19
1793.6,4,20
952.1,5,0
1179.7,5,1
1410.0,5,2
978.6,5,3
1363.1,5,4
0.0,5,5
1929.8,5,6
1267.0,5,7
945.6,5,8
1608.3,5,9
1878.3,5,10
1934.5,5,11
1308.8,5,12
970.8,5,13
584.6,5,14
831.3,5,15
774.0,5,16
1329.8,5,17
1712.5,5,18
982.0,5,19
1374.8,5,20
2229.7,6,0
1887.0,6,1
1557.8,6,2
2256.2,6,3
1418.2,6,4
2010.4,6,5
0.0,6,6
1034.5,6,7
1445.1,6,8
1559.7,6,9
2220.1,6,10
1473.9,6,11
1137.6,6,12
1876.0,6,13
1563.6,6,14
1391.5,6,15
1406.4,6,16
1477.6,6,17
2054.3,6,18
1396.7,6,19
1855.8,6,20
1841.5,7,0
1599.0,7,1
849.7,7,2
1868.0,7,3
926.3,7,4
1481.5,7,5
1152.1,7,6
0.0,7,7
1050.3,7,8
831.0,7,9
2102.6,7,10
738.9,7,11
436.5,7,12
1495.3,7,13
1076.1,7,14
1128.9,7,15
885.6,7,16
769.5,7,17
1936.8,7,18
909.2,7,19
1593.2,7,20
1053.1,8,0
882.0,8,1
1215.5,8,2
1079.6,8,3
1075.9,8,4
972.1,8,5
1311.5,8,6
932.3,8,7
0.0,8,8
1340.8,8,9
1362.7,8,10
1454.3,8,11
974.1,8,12
699.4,8,13
469.8,8,14
290.4,8,15
628.5,8,16
1135.3,8,17
1196.9,8,18
412.9,8,19
858.9,8,20
1700.0,9,0
1919.3,9,1
353.2,9,2
1726.5,9,3
855.2,9,4
1340.0,9,5
1550.0,9,6
725.8,9,7
1357.1,9,8
0.0,9,9
2508.2,9,10
1053.9,9,11
691.9,9,12
1741.4,9,13
