Tiempo,Desde,Hacia
0.0,0,0
1666.1,0,1
1742.6,0,2
1634.8,0,3
284.6,0,4
838.6,0,5
1870.8,0,6
1797.6,0,7
1302.5,0,8
2007.5,0,9
1380.7,0,10
2226.9,0,11
1640.8,0,12
785.9,0,13
877.9,0,14
986.6,0,15
1234.8,0,16
1790.6,0,17
1243.0,0,18
1228.2,0,19
918.3,0,20
1332.0,1,0
0.0,1,1
282.0,1,2
569.4,1,3
1358.5,1,4
1115.7,1,5
578.9,1,6
734.9,1,7
1638.0,1,8
744.7,1,9
2098.2,1,10
1201.1,1,11
575.4,1,12
1373.4,1,13
986.4,1,14
1072.3,1,15
496.1,1,16
601.3,1,17
1932.4,1,18
734.9,1,19
1588.8,1,20
1536.8,2,0
222.9,2,1
0.0,2,2
774.2,2,3
1563.3,2,4
1320.5,2,5
651.4,2,6
939.7,2,7
1842.8,2,8
817.2,2,9
2303.0,2,10
1405.9,2,11
780.2,2,12
1578.2,2,13
1191.2,2,14
1277.1,2,15
700.9,2,16
685.1,2,17
2137.2,2,18
939.7,2,19
1793.6,2,20
1537.6,3,0
587.9,3,1
664.4,3,2
0.0,3,3
1564.1,3,4
1095.0,3,5
545.8,3,6
349.4,3,7
1553.1,3,8
606.7,3,9
2013.3,3,10
815.6,3,11
132.6,3,12
1384.9,3,13
965.7,3,14
1039.6,3,15
623.7,3,16
465.6,3,17
1847.5,3,18
773.6,3,19
1503.9,3,20
240.8,4,0
1711.0,4,1
1787.5,4,2
1679.7,4,3
0.0,4,4
883.5,4,5
1915.7,4,6
1842.5,4,7
1463.7,4,8
2052.4,4,9
1541.9,4,10
2271.8,4,11
1685.7,4,12
841.6,4,13
922.8,4,14
1031.5,4,15
1279.7,4,16
1835.5,4,17
1404.2,4,18
1273.1,4,19
1079.5,4,20
742.2,5,0
1081.3,5,1
1157.8,5,2
1026.5,5,3
768.7,5,4
0.0,5,5
1273.9,5,6
1192.0,5,7
1035.8,5,8
1399.2,5,9
1496.0,5,10
1658.2,5,11
1032.5,5,12
388.5,5,13
334.8,5,14
449.0,5,15
750.8,5,16
1193.7,5,17
1330.2,5,18
568.9,5,19
897.2,5,20
1441.2,6,0
519.9,6,1
596.4,6,2
537.9,6,3
1467.7,6,4
1239.2,6,5
0.0,6,6
703.4,6,7
1789.2,6,8
379.2,6,9
2249.4,6,10
1169.6,6,11
508.0,6,12
1482.6,6,13
1096.4,6,14
1181.5,6,15
618.2,6,16
181.3,6,17
2083.6,6,18
880.3,6,19
1740.0,6,20
1929.1,7,0
979.4,7,1
1055.9,7,2
451.7,7,3
1955.6,7,4
1331.9,7,5
937.3,7,6
0.0,7,7
1656.5,7,8
944.9,7,9
2116.7,7,10
852.8,7,11
524.1,7,12
1627.5,7,13
1289.3,7,14
1143.0,7,15
1015.2,7,16
857.1,7,17
1950.9,7,18
1122.4,7,19
1607.3,7,20
1242.0,8,0
1603.8,8,1
1680.3,8,2
1572.5,8,3
1435.6,8,4
885.0,8,5
1819.9,8,6
1531.5,8,7
0.0,8,8
1945.2,8,9
816.3,8,10
1979.8,8,11
1578.5,8,12
1003.0,8,13
951.0,8,14
699.1,8,15
1298.1,8,16
1739.7,8,17
650.5,8,18
1085.7,8,19
747.1,8,20
1700.0,9,0
761.6,9,1
855.2,9,2
761.6,9,3
1726.5,9,4
1498.0,9,5
353.2,9,6
927.1,9,7
2048.0,9,8
0.0,9,9
2508.2,9,10
1053.9,9,11
691.9,9,12
1741.4,9,13
1355.2,9,14
1440.3,9,15
877.0,9,16
381.9,9,17
2342.4,9,18
1139.1,9,19
1998.8,9,20
1373.1,10,0
2161.1,10,1
2237.6,10,2
2129.8,10,3
1566.7,10,4
1427.9,10,5
2377.2,10,6
2088.8,10,7
778.6,10,8
2502.5,10,9
0.0,10,10
2537.1,10,11
2135.8,10,12
1304.9,10,13
1508.3,10,14
1256.4,10,15
1855.4,10,16
2297.0,10,17
270.3,10,18
1643.0,10,19
853.1,10,20
2660.1,11,0
1728.0,11,1
1804.5,11,2
1377.9,11,3
2686.6,11,4
2313.9,11,5
1467.1,11,6
1361.5,11,7
2719.0,11,8
1188.2,11,9
3179.2,11,10
0.0,11,11
1329.7,11,12
2603.8,11,13
2184.6,11,14
2205.5,11,15
1763.8,11,16
1495.8,11,17
3013.4,11,18
1913.7,11,19
2669.8,11,20
1644.4,12,0
712.3,12,1
788.8,12,2
295.1,12,3
1670.9,12,4
1223.3,12,5
583.0,12,6
460.6,12,7
1681.4,12,8
564.0,12,9
2141.6,12,10
794.3,12,11
0.0,12,12
1513.2,12,13
1094.0,12,14
1167.9,12,15
748.1,12,16
502.8,12,17
1975.8,12,18
898.0,12,19
1632.2,12,20
764.5,13,0
1223.8,13,1
1300.3,13,2
1192.5,13,3
865.8,13,4
393.7,13,5
1439.9,13,6
1355.3,13,7
982.4,13,8
1565.2,13,9
1302.0,13,10
1784.6,13,11
1198.5,13,12
0.0,13,13
395.1,13,14
544.3,13,15
918.1,13,16
1359.7,13,17
1125.7,13,18
785.9,13,19
598.2,13,20
884.3,14,0
902.7,14,1
979.2,14,2
847.9,14,3
910.8,14,4
365.1,14,5
1095.3,14,6
1013.4,14,7
1045.0,14,8
1220.6,14,9
1505.2,14,10
1479.6,14,11
853.9,14,12
657.9,14,13
0.0,14,14
458.2,14,15
607.8,14,16
1015.1,14,17
1339.4,14,18
425.9,14,19
1002.7,14,20
1077.2,15,0
1146.7,15,1
1223.2,15,2
1115.4,15,3
1103.7,15,4
427.9,15,5
1362.8,15,6
1140.1,15,7
744.8,15,8
1488.1,15,9
1205.0,15,10
1588.4,15,11
1121.4,15,12
723.5,15,13
493.9,15,14
0.0,15,15
841.0,15,16
1282.6,15,17
1039.2,15,18
683.2,15,19
695.6,15,20
1181.4,16,0
673.6,16,1
750.1,16,2
618.8,16,3
1207.9,16,4
775.2,16,5
866.2,16,6
784.3,16,7
1353.3,16,8
991.5,16,9
1813.5,16,10
1250.5,16,11
624.8,16,12
1111.4,16,13
645.9,16,14
741.2,16,15
0.0,16,16
786.0,16,17
1647.7,16,18
302.9,16,19
1304.4,16,20
1492.6,17,0
571.3,17,1
647.8,17,2
589.3,17,3
1519.1,17,4
1290.6,17,5
145.8,17,6
754.8,17,7
1840.6,17,8
337.6,17,9
2300.8,17,10
1221.0,17,11
559.4,17,12
1534.0,17,13
1147.8,17,14
1232.9,17,15
669.6,17,16
0.0,17,17
2135.0,17,18
931.7,17,19
1791.4,17,20
1300.9,18,0
1982.6,18,1
2059.1,18,2
1951.3,18,3
1494.5,18,4
1257.7,18,5
2198.7,18,6
1910.3,18,7
618.2,18,8
2324.0,18,9
261.8,18,10
2358.6,18,11
1957.3,18,12
1188.6,18,13
1329.8,18,14
1077.9,18,15
1676.9,18,16
2118.5,18,17
0.0,18,18
1464.5,18,19
640.6,18,20
1381.8,19,0
623.4,19,1
699.9,19,2
568.6,19,3
1408.3,19,4
717.6,19,5
816.0,19,6
734.1,19,7
1375.0,19,8
941.3,19,9
1835.2,19,10
1200.3,19,11
574.6,19,12
1053.8,19,13
588.3,19,14
762.9,19,15
344.5,19,16
735.8,19,17
1669.4,19,18
0.0,19,19
1326.1,19,20
847.0,20,0
1504.6,20,1
1581.1,20,2
1473.3,20,3
1040.6,20,4
677.1,20,5
1720.7,20,6
1597.1,20,7
699.7,20,8
1846.0,20,9
885.4,20,10
2045.4,20,11
1479.3,20,12
608.0,20,13
871.0,20,14
776.1,20,15
1198.9,20,16
1640.5,20,17
703.1,20,18
1066.7,20,19
0.0,20,20
