Distancia,Desde,Hacia
0.0,0,0
14256.3,0,1
19400.3,0,2
1130.9,0,3
12599.9,0,4
11416.7,0,5
16591.5,0,6
13945.6,0,7
7511.4,0,8
7110.6,0,9
11377.1,0,10
24445.3,0,11
8829.3,0,12
20142.5,0,13
1255.4,0,14
7421.8,0,15
4283.4,0,16
9793.5,0,17
15281.3,0,18
23046.4,0,19
21171.9,0,20
5482.0,0,21
21239.2,0,22
4877.3,0,23
22720.3,0,24
10904.7,0,25
23944.0,0,26
19267.2,0,27
7057.4,0,28
8300.3,0,29
4348.5,0,30
12843.0,0,31
21528.1,0,32
9133.0,0,33
10143.2,0,34
4678.9,0,35
12672.2,1,0
0.0,1,1
6812.6,1,2
13287.6,1,3
14388.3,1,4
8279.5,1,5
10557.4,1,6
15734.0,1,7
15409.8,1,8
19179.8,1,9
19275.5,1,10
11857.6,1,11
6424.5,1,12
7554.8,1,13
13135.6,1,14
19491.0,1,15
11353.6,1,16
9466.6,1,17
8363.0,1,18
10458.7,1,19
15137.8,1,20
10762.2,1,21
8651.5,1,22
15748.8,1,23
10132.6,1,24
22974.0,1,25
17209.4,1,26
6679.4,1,27
11947.7,1,28
8303.4,1,29
10566.1,1,30
5529.2,1,31
8940.4,1,32
21202.2,1,33
6144.6,1,34
16135.8,1,35
15950.5,2,0
6482.4,2,1
0.0,2,2
15457.0,2,3
11389.6,2,4
7368.4,2,5
13576.9,2,6
12735.3,2,7
16641.8,2,8
22458.1,2,9
19835.7,2,10
8602.6,2,11
10418.4,2,12
2985.2,2,13
15846.0,2,14
22769.3,2,15
15347.5,2,16
8833.1,2,17
10089.2,2,18
5889.2,2,19
16680.6,2,20
13068.7,2,21
4081.9,2,22
19612.5,2,23
11321.3,2,24
26252.2,2,25
18935.6,2,26
8405.7,2,27
14565.3,2,28
12297.3,2,29
13276.5,2,30
4616.3,2,31
6724.3,2,32
24480.5,2,33
6913.7,2,34
19414.0,2,35
1045.0,3,0
13246.8,3,1
18390.8,3,2
0.0,3,3
11590.4,3,4
10407.2,3,5
15592.8,3,6
12936.1,3,7
8220.3,3,8
8163.0,3,9
12086.0,3,10
23435.8,3,11
7819.7,3,12
19132.9,3,13
1372.6,3,14
8474.3,3,15
4159.4,3,16
8784.0,3,17
14282.6,3,18
22036.9,3,19
20173.2,3,20
4483.3,3,21
20229.7,3,22
5586.2,3,23
21710.8,3,24
11957.2,3,25
22945.3,3,26
18257.6,3,27
7766.2,3,28
7290.7,3,29
3338.9,3,30
11833.5,3,31
20518.6,3,32
10185.5,3,33
9133.7,3,34
5387.8,3,35
11837.9,4,0
15902.4,4,1
13533.5,4,2
11344.4,4,3
0.0,4,4
6863.6,4,5
23551.6,4,6
1625.8,4,7
7495.2,4,8
18345.5,4,9
9717.7,4,10
18528.2,4,11
12906.3,4,12
15801.0,4,13
11555.0,4,14
17117.5,4,15
8999.8,4,16
6509.3,4,17
20848.1,4,18
18705.0,4,19
28132.1,4,20
11998.0,4,21
16897.8,4,22
13603.2,4,23
18688.8,4,24
21464.0,4,25
29510.8,4,26
20913.2,4,27
7311.2,4,28
7989.7,4,29
9427.3,4,30
8981.6,4,31
15435.7,4,32
17854.4,4,33
12214.7,4,34
13588.6,4,35
10282.6,5,0
9913.7,5,1
11543.0,5,2
9789.1,5,3
7288.7,5,4
0.0,5,5
16445.3,5,6
8634.4,5,7
9543.6,5,8
16790.2,5,9
15864.3,5,10
16452.3,5,11
6917.6,5,12
12285.2,5,13
9999.7,5,14
17101.4,5,15
7942.4,5,16
2289.7,5,17
12957.7,5,18
15189.1,5,19
19549.0,5,20
8994.3,5,21
13381.9,5,22
12337.6,5,23
14727.3,5,24
20584.3,5,25
21804.0,5,26
11274.1,5,27
7467.0,5,28
3312.1,5,29
7229.3,5,30
4327.0,5,31
10781.1,5,32
18812.6,5,33
4552.6,5,34
12322.9,5,35
17029.2,6,0
7938.8,6,1
11880.9,6,2
16535.7,6,3
22136.7,6,4
15666.6,6,5
0.0,6,6
23482.3,6,7
23325.2,6,8
23536.8,6,9
27190.9,6,10
13779.6,6,11
13742.6,6,12
15196.3,6,13
16746.3,6,14
23848.0,6,15
19135.4,6,16
16853.7,6,17
4250.5,6,18
15574.4,6,19
8106.4,6,20
14147.4,6,21
16293.1,6,22
20691.1,6,23
15122.5,6,24
27330.9,6,25
14276.4,6,26
7788.0,6,27
22978.3,6,28
16184.7,6,29
15082.5,6,30
13545.4,6,31
12361.4,6,32
25559.2,6,33
14025.9,6,34
20492.7,6,35
13968.3,7,0
18032.8,7,1
14734.9,7,2
13474.8,7,3
